51,5
83,2.033333333
85,3.533333333
95,5.620689655
106,2.477272727
132,2
185,2
189,2.833333333
212,5
217,2
236,1.980392157
266,2
294,2
313,1.245901639
314,1.96969697
345,2.183544304
347,2.173913043
357,2.2
386,1.857142857
392,4.744897959
399,2.111111111
399,5.249357326
411,2.633333333
415,2
417,2.954545455
418,3
442,7.450066578
455,3
459,2
459,2
466,2
472,2
477,31.59821429
499,2.333333333
499,2.5
502,2.380952381
524,3.186170213
537,1.918367347
548,3.928571429
548,2.333333333
587,2.384
638,16.73684211
645,1
682,2.368421053
706,12
734,3.071197411
778,2.352941176
807,2.1875
808,2.213114754
828,3.052173913
839,2
855,27.98644986
893,2
931,1.777777778
1007,2.357142857
1036,2.375
1111,1.980926431
1138,3.066225166
1241,5.1875
1245,3.399521531
1252,2.111111111
1274,2.50617284
1351,2.192307692
1699,6.2
1712,2.611111111
1807,2.539325843
1884,5.413127413
1925,4.330143541
1972,1.785714286
1986,2.529069767
2091,3.387234043
2211,3.314102564
2227,2
2242,2
2326,2.737113402
2375,7.325663717
2496,3.136363636
2605,2.088888889
2673,2
2733,2
2953,3.231884058
2975,4.119101124
3114,19.42367067
3139,2.404255319
3156,2
3560,2.763157895
3565,2.960474308
3776,2.068965517
4598,2.545454545
4834,2.336
6587,2
6706,2.363636364
6743,2.338983051
7131,2.524590164
8791,6.12
8835,4.455958549
9250,2
9629,2.206896552
10495,2.686567164
10758,3.714285714
11199,11.54948805
11891,2.649425287
12221,2.845070423
13183,5.23655914
13267,2.382352941
19211,4.404938272
21576,2.497354497
44683,2.020833333
65833,4.882629108
68723,4.878524946
77012,2.090909091
79180,11.56008584
123270,6.067137809
403210,2.52991453